name,datePublished,image
Jan Hus,1955,https://www.dropbox.com/scl/fi/1y4oc7az49cyfx8uyqaf6/1955_Jan-Hus.png?rlkey=7z7fk1yiea6j6psglntcxtnla&raw=1
The Warrior,1955,https://www.dropbox.com/scl/fi/udzqivf3k13swjypgzrx5/1955_The-Warrior.png?rlkey=38ekevhyfr6qxoqndi7du0nw6&raw=1
Richard III,1955,https://www.dropbox.com/scl/fi/e1xkifm4uqqcbczuojcg1/1955_Richard-III.png?rlkey=x7jni634dpyhu4e40m5o1330r&raw=1
The Sword and the Dragon,1956,https://www.dropbox.com/scl/fi/s0hlkzdtsp7fdzhfhvuyt/1956_The-Sword-and-the-Dragon.png?rlkey=5uphhq25di8jftznc3ncevzuv&raw=1
Roland the Mighty,1956,https://www.dropbox.com/scl/fi/k0aaq9py9gzrlh08axwve/1956_Roland-the-Mighty.png?rlkey=yxlih543dwapl53r5lao5y4nx&raw=1
I am Catherine,1957,https://www.dropbox.com/scl/fi/o7n46ideazgcuf90b2h4f/1957_I-am-Catherine.png?rlkey=isqpfqtpumjig0gy8ofyl26rv&raw=1
Saint Joan,1957,https://www.dropbox.com/scl/fi/3og4sv6bb4en4tt8jgm3a/1957_Saint-Joan.png?rlkey=h7yubg80187zzpl9erv7dezfp&raw=1
The Mighty Crusaders,1957,https://www.dropbox.com/scl/fi/46a28h0u5atlq0uxazpab/1957_The-Mighty-Crusaders.png?rlkey=npzabizu529e3qvzsze4twa2x&raw=1
The Pied Piper of Hamelin,1957,https://www.dropbox.com/scl/fi/obdx3zlqa9rvmnkzsjrio/1957_The-Pied-Piper-Of-Hamelin.png?rlkey=9ys83t6jyi82tsld02oqisg2d&raw=1
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,1957,https://www.dropbox.com/scl/fi/1y3gl6gbjfgwkk2sg5eva/1957_Saga-of-the-Viking-Women-and-Their-Voyage-to-the-Waters-of-the-Great-Sea-Serpent.png?rlkey=0cbcjh2wk0ghk1lrrb8vshige&raw=1
The Vikings,1958,https://www.dropbox.com/scl/fi/67b1tksk8gtxip4pfop77/1958_The-Vikings.png?rlkey=lomb9dbh90yocs9rld6dkgay2&raw=1
Son of Robin Hood,1958,https://www.dropbox.com/scl/fi/rquczrt6gw0hdqg4t8l2x/1958_Son-of-Robin-Hood.png?rlkey=dngi0xzlwo7gf6pe2ig722zox&raw=1
